id,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,rows_id,rank
4428,courier_code,Lotte Global Logistics,HYUNDAI,,,,,,,,,,,,,,,,,,,,1000
4429,courier_code,Logen Logistics,KGB,,,,,,,,,,,,,,,,,,,,1000
4430,courier_code,Korea Post,EPOST,,,,,,,,,,,,,,,,,,,,1000
4431,courier_code,Hanjin Global Logistics,HANJIN,,,,,,,,,,,,,,,,,,,,1000
4432,courier_code,CJ Logistics,CJGLS,,,,,,,,,,,,,,,,,,,,1000
4433,courier_code,Kyoungdong Express,KDEXP,,,,,,,,,,,,,,,,,,,,1000
4434,courier_code,Courier Direct Delivery,DIRECT,,,,,,,,,,,,,,,,,,,,1000
4435,courier_code,Ilyang Logistics,ILYANG,,,,,,,,,,,,,,,,,,,,1000
4436,courier_code,Chunil Parcel,CHUNIL,,,,,,,,,,,,,,,,,,,,1000
4437,courier_code,Ajou Logistics,AJOU,,,,,,,,,,,,,,,,,,,,1000
4438,courier_code,SC Logistics,CSLOGIS,,,,,,,,,,,,,,,,,,,,1000
4439,courier_code,Daesin Parcel,DAESIN,,,,,,,,,,,,,,,,,,,,1000
4440,courier_code,CVS Parcel,CVS,,,,,,,,,,,,,,,,,,,,1000
4441,courier_code,Hapdong Express,HDEXP,,,,,,,,,,,,,,,,,,,,1000
4442,courier_code,DHL,DHL,,,,,,,,,,,,,,,,,,,,1000
4443,courier_code,UPS,UPS,,,,,,,,,,,,,,,,,,,,1000
4444,courier_code,FEDEX,FEDEX,,,,,,,,,,,,,,,,,,,,1000
4445,courier_code,Registered Mail,REGISTPOST,,,,,,,,,,,,,,,,,,,,1000
4446,courier_code,Korea Post EMS,EMS,,,,,,,,,,,,,,,,,,,,1000
4447,courier_code,TNT,TNT,,,,,,,,,,,,,,,,,,,,1000
4448,courier_code,USPS,USPS,,,,,,,,,,,,,,,,,,,,1000
4449,courier_code,i-parcel,IPARCEL,,,,,,,,,,,,,,,,,,,,1000
4450,courier_code,GSM NtoN,GSMNTON,,,,,,,,,,,,,,,,,,,,1000
4451,courier_code,Sungwon Global Cargo,SWGEXP,,,,,,,,,,,,,,,,,,,,1000
4452,courier_code,Pantos Logistics,PANTOS,,,,,,,,,,,,,,,,,,,,1000
4453,courier_code,ACI Express,ACIEXPRESS,,,,,,,,,,,,,,,,,,,,1000
4454,courier_code,Daewoon Global,DAEWOON,,,,,,,,,,,,,,,,,,,,1000
4455,courier_code,Airboy Express,AIRBOY,,,,,,,,,,,,,,,,,,,,1000
4456,courier_code,KGL Networks,KGLNET,,,,,,,,,,,,,,,,,,,,1000
4457,courier_code,Kunyoung Express,KUNYOUNG,,,,,,,,,,,,,,,,,,,,1000
4458,courier_code,SLX Logistics,SLX,,,,,,,,,,,,,,,,,,,,1000
4459,courier_code,Woori Logistics,HONAM,,,,,,,,,,,,,,,,,,,,1000
4460,courier_code,LineExpress,LINEEXPRESS,,,,,,,,,,,,,,,,,,,,1000
